name;s.data;d.operasional
Jumlah Kematian Ibu ;Laporan pada Aplikasi MPDN dari Fasyankes /Dinkes kab/kota;"1. Dinkes Kab/Kota melalui Aplikasi Maternal Perinatal Death Notification (MPDN)
2. Target dari Kabupaten/Kota "
Jumlah Kematian Neonatus;Laporan pada Aplikasi MPDN dari Fasyankes /Dinkes kab/kota;Dinkes Kab/Kota melalui Aplikasi Maternal Perinatal Death Notification (MPDN)
Angka Harapan Hidup (AHH);BPS Pusat, Provinsi dan Kabupaten/Kota;"Angka Harapan Hidup (AHH) adalah rata-rata tahunan yang masih akan dijalani seseorang yang telah mencapai usia tertentu, pada tahun tertentu, dalam keadaan mortalitas yang terjadi di lingkungan masyarakatnya (BPS, 2022).

cara perhitungan adalah membandingkan capaian angka tahun berjalan dengan tahun sebelumnya.
contoh penilaian :
penilaian tahun 2025 --> data tahun 2024 dibandingkan dengan data tahun 2023 dan data tahun 2023 dibandingkan dengan data tahun 2022"
Rata-rata waktu tempuh ke fasilitas pelayanan kesehatan terdekat < 30 menit;Dinas Kesehatan Kabupaten/Kota dan Kepala Puskesmas serta Desa/Kelurahan;"Rata-rata waktu tempuh ke fasilitas kesehatan  terdekat adalah tersedianya pelayanan kesehatan berkualitas yang dekat dengan rumah untuk mencegah penyakit yang dapat dihindari (avoidable illness) dan siap menghadapi situasi apa pun.

Fasilitas Pelayanan Kesehatan adalah suatu alat dan/ atau tempat yang digunakan untuk menyelenggarakan upaya pelayanan kesehatan, baik
promotif, preventif, kuratif maupun rehabilitatif yang dilakukan oleh pemerintah pusat, pemerintah daerah dan/ atau masyarakat. 
Fasilitas pelayanan kesehatan yang dimaksud adalah 
a. tempat praktik mandiri Tenaga Kesehatan;
b. pusat kesehatan masyarakat;
c. klinik;
d. rumah sakit;
e. apotek;
f.  fasilitas Pelayanan Kesehatan tradisional.
catatan : > 120 menit masuk dalam kategori level 0 (WHO)"
Akses terhadap informasi kesehatan;Lintas sektor/Program/Swasta;"Akses terhadap informasi kesehatan adalah Kabupaten/Kota memiliki platform informasi  terintegrasi   Lintas Sektor/Program untuk mempercepat transformasi informasi yang dimanfaatkan untuk pengambilan keputusan dan dapat diakses oleh seluruh masyarakat dalam meningkatkan status derajat kesehatan. contoh : Sistem Pencegahan Stunting/SIMPATI (Kab. Sumedang),  Aplikasi Sayang Warga/ASW (Kota Surabaya), Sistem Informasi Kesehatan Tulung Agung (SIKESTA)

Tingkat pendidikan memainkan peran penting dalam memberikan kesadaran untuk hidup sehat dan memilih pilihan  lebih sehat di kehidupan sehari-hari. Selain itu, memiliki tingkat literasi yang tinggi juga berkaitan dengan kemampuan membaca label dan informasi terkait kesehatan umum. Literasi kesehatan :menunjukkan status atau ketersediaan pengetahuan pada titik waktu tertentu. Tingkat melek huruf yang tinggi berarti memberikan lebih banyak peluang ekonomi yang secara langsung mengarah pada kesehatan yang lebih baik. Dengan kaitananya terhadap pengetahuan kesehatan, indikator tersebut dapat memberikan informasi yang lebih akurat tentang hasil kesehatan seseorang/individu."
Prevalensi Stunting pada Balita ;"Sumber Data : Sigizi Terpadu
1) Survei terkait Status Gizi Balita Indonesia 
2) Hasil pemantauan pertumbuhan balita dalam Sigizi Terpadu (e-PPGBM)
Waktu Pelaporan

Pedoman yang dipakai
1) Permenkes No 2 tahun 2020 tentang Standar Antropometri Anak
2) Pedoman Pemantauan Pertumbuhan
3) Pedoman Pelaksanaan Teknis Surveilans Gizi
4) Petunjuk Teknis Sistem Informasi Gizi Terpadu (Sigizi Terpadu)";"Adalah Persentase anak umur 0 - 59 bulan dengan kategori status gizi berdasarkan indeks Panjang Badan menurut Umur (PB/U) atau Tinggi Badan menurut Umur (TB/U) memiliki Zscore kurang dari -2SD. Untuk perhitungan cakupan program, kategori stunting ditetapkan dengan hasil pengukuran antropometri. 

Prevalensi balita stunting (pendek dan sangat pendek)
adalah persentase anak yang berumur di bawah 5 tahun (0
sampai 59 bulan 29 hari) dengan kategori status gizi
berdasarkan indeks Panjang Badan menurut Umur (PB/U)
atau Tinggi Badan menurut Umur (TB/U) memiliki Z-score
kurang dari -2 Standar Deviasi (SD).

Rumus Perhitungan indikator: Jumlah balita pendek dan
sangat pendek dibagi jumlah balita diukur panjang atau
tinggi badan dikali 100."
Cakupan Penemuan Kasus TBC mencapai 90%;Sistem Informasi Tuberkulosis  (SITB) ;Jumlah  semua kasus tuberkulosis yang ditemukan diantara estimasi kasus TBC di wilayah kerja dalam kurun waktu satu tahun (Perpres 67 Tahun 2021 & Permenkes 67 Tahun 2016)
Persentase orang terduga tuberkulosis yang mendapatkan pelayanan kesehatan sesuai standar ;"E-Monev SITB 
Laporan Capaian SPM / Web Monitoring SPM ";"Persentase jumlah orang terduga TBC yang mendapatkan pelayanan TBC sesuai standar di wilayah kerjanya dalam kurun waktu satu tahun 
Dasar hukum : Permenkes No 4 Tahun 2019, PP No 2 tahun 2018, Permendagri 59 2021"
Persentase merokok penduduk usia 10-18 tahun (Indikator RPJMN);aplikasi ASIK;"Persentase merokok penduduk usia 10 - 18 tahun dinilai dari 2 komponen yaitu capaian persentase skrining merokok dan proporsi merokok penduduk usia 10 - 18 tahun pada tahun berjalan.
1. capaian persentase skrining adalah jumlah penduduk usia 10 - 18 tahun yang diskrining merokok dibagi jumlah penduduk usia 10 - 18 tahun dikali 100%.
2. proporsi merokok penduduk usia 10 - 18 tahun adalah jumlah penduduk usia 10 - 18 tahun dibagi  jumlah penduduk usia 10 - 18 tahun yang diskrining merokok dikali 100%.
Catatan: target prevalensi merokok penduduk usia 10 - 18 tahun dalam tahun berjalan: tahun 2022 = 8,8; 2023 = 8,8; 2024 = 8,7. "
Angka kesakitan Dengue;Laporan Manual Program / Sistem Aplikasi Arbovirosis;Angka kesakitan Dengue di Kab/Kota dalam tahun berjalan terjadi penurunan 
