name;s_data;d_operasional
Persentase industri kecil dan menengah yang memenuhi standar kegiatan usaha dan/atau standar produk sesuai persyaratan dan/atau kewajiban perizinan berusaha pada sektor perindustrian;"- Sistem Informasi Industri Nasional (SIINAS)
- Laporan Dinas Kesehatan Kabupaten/Kota/Provinsi";"- Merujuk pada Permenperin No. 9 tahun 2021 tentang Standar Kegiatan Usaha dan/atau Produk pada Penyelenggaraan Perizinan Berusaha Berbasis Risiko Sektor Perindustrian.
"
Persentase tempat kerja/ perusahaan yang menerapkan Kawasan Tanpa Rokok (KTR);"Pencatatan Dinas Tenaga Kerja Provinsi,
Data Wajib Lapor Ketenagakerjaan atau Germas bidang Ketenagakerjaan
";Jumlah tempat kerja atau perusahaan yang menerapkan Kawasan Tanpa rokok (KTR) dibagi jumlah total kantor di Kab/Kota dikali 100, dalam satuan ukur persentase.
Jumlah/Persentase tempat kerja atau perusahaan yang memiliki unit (Panitia Pembina Keselamatan dan Kesehatan Kerja (P2K3) ;Pencatatan atau Laporan Dinas Ketenagakerjaan Provinsi ;"Persentase tempat kerja yang memiliki unit (Panitia Pembina Keselamatan dan Kesehatan Kerja (P2K3)  dibandingkan jumlah total tempat kerja di Kab/Kota

*perusahaan harus memiliki sistem manajemen K3. syarat perusahaan memiliki SMK3 yaitu memiliki 100 atau lebih karyawan dan sudah ada penghargaannya. P2K3 lebih kearah kelembagaan. Dengan banyaknya suatu perusahaan mendapatkan banyak penghargaan K3, maka penerapan K3 lebih baik.

Level pengawas K3 ada di Provinsi. "
Persentase tempat kerja yang telah memfasilitasi pemeriksaan kesehatan berkala (deteksi dini) pada pegawainya minimal 1 tahun sekali;"Pencatatan/ Laporan / Dokumen berasal dari Dinas Ketenagakerjaan Provinsi
Pencatatan/ Laporan / Dokumen berasal dari Dinas Kesehatan Kabupaten/Kota/Provinsi";Jumlah tempat kerja yang telah memfasilitasi pemeriksaan kesehatan pada pegawainya dalam satu tahun dibandingkan dengan jumlah total tempat kerja terdaftar di Kab/kota dikali 100 persen , dalam satuan presentase
Angka kecelakaan kerja di tempat kerja setahun terakhir ;Pencatatan/ Laporan Dinas Tenaga Kerja Provinsi (Data kecelakaan nihil/zero accident) dan BPJS Ketenagakerjaan wilayah setempat ;"Tersedianya angka kecelakaan kerja di lingkungan tempat kerja yang dibuktikan dengan laporan tahunan. Yang dimasukan dalam kategori Keselakaan kerja adalah kecelakaan kerja dan penyakit akibat kerja.
"
Jumlah/Persentase perusahaan yang mendapatkan penghargaan dibidang kesehatan yang diberikan oleh pemerintah pusat atau daerah, seperti:                                                       Penghargaan HIV/AIDS, TBC di tempat kerja, GP2SP, K3 Perkantoran;- Pencatatan atau Laporan Dinas Ketenagakerjaan Provinsi atau Laporan Dinas Kesehatan Kabupaten/Kota/Provinsi;"Jumlah tempat kerja yang mendapatkan penghargaan dibidang kesehatan untuk kategori berikut: Penghargaan HIV/AIDS, TBC di tempat kerja, GP2SP, K3 Perkantoran --> ada regulasinya 
"
Persentase jumlah puskesmas membina Pos UKK;"Dokumen kegiatan pelayanan kesehatan/Pos Upaya Kesehatan Kerja (UKK)  diperoleh dari 
Dinas Kesehatan melalui Komdat Kesmas
";"Jumlah Puskesmas membina Pos UKK adalah Jumlah puskesmas melakukan kegiatan kegiatan promotif, preventif  kesehatan kerja dan P3K pada Pos UKK di wilayah Kabupaten/ Kota dikali 100, dalam satuan ukur persentase.

Pos UKK adalah wadah untuk UKBM pada pekerja sektor informal yang dikelola dan diselenggarakan dari, oleh, untuk dan bersama masyarakat pekerja melalui pemberian pelayanan kesehatan dengan pendekatan utama promotif dan preventif, disertai kuratif dan rehabilitatif sederhana/terbatas. Pos UKK Terintegrasi adalah Pos UKK yang dalam pelaksanaan kegiatan dan substansinya dipadukan dengan program atau kegiatan kesehatan lainnya yang terdapat pada kelompok pekerja dan bentuk peran serta masyarakat dalam melakukan kegiatan deteksi dini, pemantauan faktor risiko pada penyakit akibat kerja dan kecelakaan kerja, pengendalian penyakit menular dan tidak menular, pengendalian penyakit bersumber binatang, serta program gizi, kesehatan reproduksi, kesehatan olahraga, kesehatan jiwa, kesehatan lingkungan, dan PHBS yang dilaksanakan secara terpadu, rutin dan periodik

Usaha Mikro adalah adalah usaha produktif milik orang perorangan dan/atau badan usaha perorangan yang memenuhi kriteria, seperti Aset maksimal 50 Juta, Omset maksimal 300 Juta.

Usaha Kecil adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perorangan atau badan usaha yang bukan merupakan anak perusahaan atau bukan cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dari usaha menengah atau usaha besar yang memenuhi kriteria Usaha Kecil, seperti Aset > 50 Juta - 500 Juta, Omset > 300 Juta - 2,5 Miliar.

Usaha Menengah adalah Usaha Menengah adalah usaha ekonomi produktif yang berdiri sendiri, yang dilakukan oleh orang perseorangan atau badan usaha yang bukan merupakan anak perusahaan atau cabang perusahaan yang dimiliki, dikuasai, atau menjadi bagian baik langsung maupun tidak langsung dengan Usaha Kecil atau usaha besar dengan jumlah kekayaan bersih atau hasil penjualan tahunan, dengan kriteria di antaranya Aset > 500 Juta - 10 Miliar, Omset > 2,5 Miliar - 50 Miliar."
Jumlah  perusahaan menerapkan Gerakan Pekerja Perempuan Sehat Produktif (GP2SP)  ;"Pencatatan/Laporan/Dokumen berasal dari Dinas Ketenagakerjaan Provinsi
Pencatatan/Laporan/Dokumen berasal dari Dinas Kesehatan Kabupaten/Kota/Provinsi
Data Satu Sehat";Jumlah perusahaan yang menerapkan GP2SP (Gerakan Pekerja Perempuan Sehat Produktif) dengan kategori minimal cukup dari hasil pengisian penilaian mandiri/ pemerintah daerah satuan jumlah
Adanya kasus pencemaran lingkungan akibat industri dalam setahun terakhir;Dokumen kegiatan/ Laporan Dinas Lingkungan Hidup/ Perindustrian/ Kesehatan;Terdapat kasus pencemaran lingkungan akibat industri dengan satuan ukur dokumen
Persentase perusahaan menyampaikan laporan Rencana Pengelolaan Lingkungan (RKL)/ Rencana Pemantauan Lingkungan (RPL) / Upaya Pengelolaan Lingkungan (UKL)/ Upaya Pemantauan Lingkungan (UPL)  secara berkala 6 bulan sekali ;Dokumen kegiatan/ Laporan Dinas Lingkungan Hidup/ Kesehatan;Jumlah perusahaan yang menyampaikan laporan Rencana Pengelolaan Lingkungan (RKL)/ Rencana Pemantauan Lingkungan (RPL)/Upaya Pengelolaan Lingkungan (UKL)/ Upaya Pemantauan Lingkungan (UPL)  secara berkala 6 bulan sekali dibagi jumlah total perusahaan di Kab/Kota, dalam satuan ukur persentase.
Persentase usaha mikro sektor makanan, minuman, industri pengolahan yang memiliki Sertifikat PIRT, MD BPOM/Izin Edar ;Data Sertifikat Laik Higiene Sanitasi (SLHS), PIRT, MD BPOM/Izin Edar di peroleh dari Dinas KUMKM,BPOM daerah, Dinas Perindustrian atau Dinas Perijinan PTSP daerah;"Pemda membantu mengurus  dokumen legalitas bagi pelaku UMKM sektor makanan, minuman, industri pengolahan yang memiliki Sertifikat Laik Higiene Sanitasi (SLHS), PIRT, MD BPOM/Izin Edar 

04102023: Jumlah produk UMKM (makanan dan minuman kemasan) yang sudah dilakukan sertifikasi "
