name;k_data;d_operational
Adanya dokumen Kajian Risiko Bencana (KRB)  yang telah disahkan oleh Kepala Daerah;Belum ada;Kajian Risiko Bencana (KRB) adalah Dokumen wajib yang berisi pedoman umum yang digunakan daerah dalam Penanggulangan Bencana. KRB meliputi: Peta Risiko Bencana yang meliputi Peta Ancaman, Peta Kerentanan, dan Peta Kapasitas sebagai landasan penentuan tingkat risiko bencana dan kebijakan minimum Penanggulangan Bencana daerah yang ditujukan untuk mengurangi jumlah jiwa terpapar, kerugian harta benda dan kerusakan lingkungan. KRB merupakan layanan pokok yang memberikan layanan dasar untuk pelaksanaan Sub Kegiatan Komunikasi, Informasi dan Edukasi Rawan Bencana, Sub Kegiatan Rencana Kontijensi. (catatan: klaster kesehatan)
Adanya dokumen Rencana Penanggulangan Bencana Daerah yang telah disahkan oleh Kepala Daerah;Belum ada;Rencana Penanggulangan Bencana (RPB) adalah dokumen wajib daerah yang berisi perencanaan periode 5 tahun untuk seluruh institusi yang terlibat dalam penanggulangan bencana baik pemerintah maupun non pemerintah. RPB meliputi penetapan kebijakan pembangunan di kawasan yang berisiko timbulnya bencana, rencana kegiatan dan aksi pengurangan risiko bencana, kerangka penanggulangan kedaruratan bencana dan kerangka rehabilitasi dan rekonstruksi pasca bencana. Rencana Penanggulngan Bencana merupakan layanan pokok yang memberikan dasar untuk pelaksanaan Sub Kegiatan Komunikasi, Informasi dan Edukasi Rawan Bencana, Sub Kegiatan Pembuatan Rencana Kontinjensi dan Sub Kegiatan Pelatihan Pencegahan dan Mitigasi. (catatan: klaster kesehatan)
Adanya dokumen rencana kontingensi daerah yang telah disahkan oleh Kepala Daerah ;BPBD atau perangkat daerah yang membidangi urusan kebencanaan;Rencana kontingensi adalah dokumen yang disusun melalui proses perencanaan, penanganan situasi bencana, dalam keadaan tidak menentu, dengan skenario tujuan yang disepekati, tindakan teknis dan tindakan manajerial dan pengarahan potensi yang disetujui bersama untuk mencegah, dan atau menanggulangi lebih baik dan ditetapkan secara formal. Gladi lapang kesiapsiagaan adalah latihan koordinasi, komunikasi dan evakuasi dengan melibatkan seluruh pemangku kepentingan (pemerintah dan masyarakat umum). Seluruh pihak yang terlibat mensimulasikan situasi bencana sesungguhnya menggunakan skenario bencana yang dibuat mendekati atau sesuai kondisi nyata.
Adanya kebijakan dan regulasi penanggulangan bencana di daerah;Sekda, BPBD, Dinas, Bapekko, Bappeda;Pemda mengeluarkan Perda/Perbub/Perwali/SK Kepala Dinas terkait Penyelenggaraan penanggulangan bencana di daerah termasuk di dalamnya adalah pemenuhan standar pelayanan minimal sub urusan bencana (Permendagri 101/2018), kelembagaan penyelenggara penanggulangan bencana, MoU dengan pihak terkait dalam penyelenggaraan penanggulangan bencana (misal: Universitas, LSM, NGO, dll), SOP Mekanisme Koordinasi Penanggulangan Bencana, dll.   
Adanya integrasi Kajian Resiko Bencana (KRB) dan Rencana Penanggulangan Bencana ke dalam dokumen perencanaan daerah ((RPJMD/RKPD/Renstra PD/ Renja PD);Bappeda/Bapeko/Sekda;"RPJMD/RKPD/Renstra PD/Renja PD yang mendukung penanggulangan bencana meliputi:
a. gambaran umum kondisi daerah khususnya dikaitkan dengan penyelenggaraan dan pencapaian Program dan Kegiatan, sub kegiatan Perangkat Daerah dalam pemenuhan Kebutuhan Dasar Warga Negara;
b. kerangka ekonomi dan keuangan daerah, khususnya dikaitkan dengan besaran anggaran yang diperuntukkan bagi pemenuhan Kebutuhan Dasar Warga Negara;
c. sasaran dan prioritas pembangunan daerah, khususnya untuk memastikan capaian pemenuhan Kebutuhan Dasar Warga Negara dalam rencana kerja tahunan;
d. rencana kerja dan pendanaan daerah, khususnya dikaitkan dengan Program, Kegiatan, sub kegiatan dan alokasi dana indikatif dan sumber pendanaan yang disusun dalam pencapaian pemenuhan Kebutuhan Dasar Warga Negara; dan
e. kinerja penyelenggaraan Pemerintah Daerah, khususnya dikaitkan dengan Indikator Kinerja daerah dalam pencapaian pemenuhan Kebutuhan Dasar Warga Negara."
Adanya sistem peringatan dini yang berfungsi dengan baik sesuai potensi ancaman bencana wilayahnya (EWS longsor, EWS banjir, EWS tsunami, SKDR, EWS Karlahut, EWS Bencana Nuklir, Biologi, Kimia, dll).;Pusdalops BPBD, BMKG, Dinas Kesehatan, Labkesmas Tier 4, Dinas Lingkungan Hidup, PSC;"Peringatan dini adalah serangkaian kegiatan pemberian peringatan sesegera mungkin kepada masyarakat tentang kemungkinan terjadinya bencana pada suatu tempat oleh lembaga yang berwenang (UU no 24 Tahun 2007)

Contoh: 
a. integrasi EWS gempa-tsunami kerjasama BPBD dengan BMKG yang diinformasikan kepada masyarakat secara langsung melalui pengaktifan sirine
b. integrasi EWS penyakit/faktor risiko kesehatan lingkungan dengan Labkesmas Tier 4"
Adanya Tim Reaksi Cepat (TRC) dengan SK Kepala BPBD;BPBD/Unit kerja penyelenggara penanggulangan bencana/Dinas terkait;Kesiapsiagaan tim klaster penanggulangan bencana di tingkat kabupaten dalam merlakukan respon cepat atau kurang dari 1 x 24 jam terhadap kejadian bencana dan atau krisis kesehatan (klaster  kesehatan, klaster pencarian dan penyelamatan, klaster logistik, klaster pengungsian dan perlindungan, klaster pendidikan, klaster sarana dan prasarana, klaster ekonomi dan klaster pemulihan dini)
Adanya Tim Koordinasi Daerah dalam Pencegahan dan Pengendalian Zoonosis dan Penyakit Infeksius Baru di Daerah;Belum ada;"Rencana Kontinjensi adalah suatu proses perencanaan ke depan terhadap keadaan yang tidak menentu untuk mencegah, atau menanggulangi secara lebih baik dalam situasi darurat atau kritis dengan menyepakati skenario dan tujuan, menetapkan tindakan teknis dan manejerial, serta tanggapan dan pengerahan yang telah disetujui bersama. Rencana Kontijensi merupakan layanan pokok yang memberikan dasar bagi pelaksanaan Sub Kegiatan Gladi Kesiapsiagaan terhadap Bencana; Pengendalian Operasi dan Penyediaan Sarana Prasarana Kesiapsiagaan terhadap Bencana; Penyediaan Peralatan Perlindungan dan Kesiapsiagaan Terhadap Bencana, serta Aktivasi Sistem Komando Penanganan Darurat Bencana."
Adanya alokasi pendanaan BTT untuk penyediaan logistik kebutuhan dasar yang mencukupi di masing-masing di Kabupaten/Kota dalam kesiapsiagaan bencana ;BPBD, Dinas Sosial, Dinas Kesehatan;"Logistik adalah sesuatu yang berwujud dan dapat digunakan untuk memenuhi kebutuhan dasar hidup manusia yang terdiri dari atas sandang, pangan dan papan atau turunannya. Termasuk dalam kategori logistik adalah barang habis pakai atau dikonsumsi, misalnya sembako (sembilan bahan pokok), obat, pakaian dan kelengkapannya, air, jas tidur dan sebagainya (perka BNPB 04 tahun 2009)
Perka BNPB 23 tahun 2014 Tentang Standarisasi Logistik Penanggulangan Bencana ->Persediaan logistik minimal adalah persediaan logistik untuk kebutuhan keadaan darurat bencana pada kurun waktu 72 jam pertama sejak keadaan darurat bencana ditetapkan. 
Rumus Perhitungan: Jumlah Penduduk x Prosentase x Hari =
Jumlah Persediaan Minimum (Buffer Stock) dengan prosentase 1% (asumsi penduduk korban bencana)."
Persentase wilayah tangguh bencana (Destana/Kampung Siaga Bencana) yang aktif melakukan upaya pengelolaan risiko bencana di daerah rawan bencana.;BPBD, Dinas Sosial, dan Aplikasi Katalog Digital Kesiapsiagaan BNPB;Jumlah wilayah Destana yang aktif melakukan upaya kesiapsiagaan bencana dibagi dengan Jumlah wilayah Destana di Kabupaten/kota dikali 100% (dibuktikan dengan adanya kegiatan yang terkait dengan mitigasi/kesiapsiagaan bencana). 
Adanya Forum Pengurangan Risiko Bencana (FPRB) sebagai upaya pemberdayaan masyarakat dalam penanggulangan bencana di Kawasan Rawan Bencana (KRB);Sumber Data : BPBD, Forum Pengurangan Risiko Bencana;Kabupaten/Kota yang membentuk Forum Pengurangan Risiko Bencana (FPRB) sebagai upaya pemberdayaan masyarakat dalam penanggulangan bencana di Kawasan Rawan Bencana (KRB)
Adanya kerjasama antar daerah yang berbatasan secara langsung, kerjasama daerah dengan pihak ketiga dalam upaya penanggulangan bencana;BPBD, Sekda;Adanya Perjanjian kerjasama dengan pemerintah daerah lain dalam penanggulangan bencana sebagai bentuk penguatan penyelenggaraan upaya penanggulangan bencana secara terpadu, sistematis, cepat, tepat, akurat, terkoordinasi pada tahapan pra bencana, saat bencana, dan pasca bencana, serta adanya rencana kerja/aksi yang terimplementasi.
Kabupaten/Kota yang melaksanakan respon terhadap sinyal SKDR kurang dari 24 jam;aplikasi SKDR (skdr.surveilans.org) ;Kabupaten/Kota yang melaksanakan respon terhadap sinyal SKDR kurang dari 24 jam dilihat dari aplikasi SKDR
Kabupaten/Kota memiliki dokumen Rencana Kontingensi penyakit potensi wabah;Belum ada;"Kabupaten/Kota memiliki dokumen Rencana Kontingensi penyakit potensi wabah yang disahkan oleh Kepala Daerah atau pejabat yang ditunjuk.
2024 : 111 Kab/Kota yang sudah memiliki dokumen rencana kontingensi"
