no;pertanyaan;opsi;score;bukti dukung
1;Keberadaan regulasi daerah tentang Pariwisata Sehat;jika dituangkan dalam Peraturan Daerah;100;Dokumen Peraturan Daerah (tentang penyelenggaraan Kepariwisataan), Perwali/Perbup. Jika regulasi ditetapkan sebelum 2023 maka wajib disertai dengan laporan penerapannya yang divalidasi oleh Kepala OPD terkait. Jika masih dalam proses penyusunan regulasi maka dilengkapi dengan rancangan regulasi dan penjelasan proses penyusunannya.
;Keberadaan regulasi daerah tentang Pariwisata Sehat;jika dituangkan dalam Peraturan Kepala Daerah (Perwali/ Perbup) atau sedang dalam proses penyusunan Raperda;75;
;Keberadaan regulasi daerah tentang Pariwisata Sehat;jika dituangkan dalam Peraturan lainnya;50;
;Keberadaan regulasi daerah tentang Pariwisata Sehat;jika tidak ada regulasi;0;
2;Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA) masuk dalam dokumen perencanaan daerah (RPJMD/Renstra/RKPD);jika ada Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA) dan masuk dalam dokumen perencanaan daerah;100;"Dokumen Rencana Induk Pembangunan Kepariwisataan Provinsi dan Kabupaten/Kota meliputi:
a.	landasan pembangunan kepariwisataan;
b.	muatan materi Rencana Induk Pembangunan
Kepariwisataan Provinsi (RIPPAR- PROV) dan Rencana Induk Pembangunan Kepariwisataan Kabupaten/Kota (RIPPAR- KAB/KOTA).

Jika RIPPARDA telah disusun sebelum 2023 maka wajib menyertakan laporan pelaksanaannya yang divalidasi oleh Kepala OPD terkait.
Jika masih dalam proses penyusunan RIPPARDA maka dilengkapi dengan rancangan RIPPARDA dan penjelasan proses penyusunannya yang divalidasi oleh Kepala OPD terkait."
;Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA) masuk dalam dokumen perencanaan daerah (RPJMD/Renstra/RKPD);jika ada Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA) tetapi belum masuk dalam dokumen perencanaan daerah;75;
;Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA) masuk dalam dokumen perencanaan daerah (RPJMD/Renstra/RKPD);jika sedang dalam proses penyusunan Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA);50;
;Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA) masuk dalam dokumen perencanaan daerah (RPJMD/Renstra/RKPD);jika tidak ada Rencana Induk Pembangunan Pariwisata Daerah (RIPPARDA);0;
3;Persentase sarana akomodasi yang memiliki Sertifikat Laik Sehat (SLS);jika persentase daya tarik wisata yang sudah memiliki sertifikat laik sehat (SLS) dan meningkat dalam 2 tahun;100;"Laporan rekapitulasi sarana akomodasi pariwisata yang sudah memiliki sertifikat laik sehat (SLS) berasal dari perangkat daerah yang membidangi OSS baik DPMPTSP dan Dinas Kesehatan yaitu seluruh sarana akomodasi yang berada di lokasi Daya Tarik Wisata (DTW) yang memiliki SLS dibagi jumlah sarana akomdasi yang berada di lokasi Daya Tarik Wisata dikali 100%.

Laporan divalidasi oleh Kepala OPD terkait."
;Persentase sarana akomodasi yang memiliki Sertifikat Laik Sehat (SLS);jika persentase daya tarik wisata pariwisata yang sudah memiliki sertifikat laik sehat (SLS) dan tetap dalam 2 tahun;50;
;Persentase sarana akomodasi yang memiliki Sertifikat Laik Sehat (SLS);jika persentase daya tarik wisata pariwisata yang sudah memiliki sertifikat laik sehat (SLS) menurun atau 0 dalam 2 tahun;0;
4;Persentase Daya Tarik Wisata yang memiliki Sertifikat Laik Sehat (SLS);jika persentase daya tarik wisata yang sudah memiliki sertifikat laik sehat (SLS) dan meningkat dalam 2 tahun;100;Laporan capaian DTW yang sudah memiliki sertifikat laik sehat (SLS) pada tahun 2023 dan 2024 (memuat informasi jumlah keseluruhan DTW dan DTW yang sudah memiliki SLS). Laporan divalidasi oleh Kepala OPD terkait serta dilengkapi dengan rekapitulasi DTW yang sudah memiliki SLS dan lampiran beberapa contoh SLS yang diterbitkan.
;Persentase Daya Tarik Wisata yang memiliki Sertifikat Laik Sehat (SLS);jika persentase daya tarik wisata pariwisata yang sudah memiliki sertifikat laik sehat (SLS) dan tetap dalam 2 tahun;50;
;Persentase Daya Tarik Wisata yang memiliki Sertifikat Laik Sehat (SLS);jika persentase daya tarik wisata pariwisata yang sudah memiliki sertifikat laik sehat (SLS) dan menurun dalam 2 tahun;0;
5;Persentase Tempat Pengolahan Pangan (TPP) Siap Saji yang memiliki Sertifikat Laik Hygiene Sanitasi (SLHS);jika capaian persentase TPP yang Wajib SLSH memiliki SLHS meningkat dalam 2 tahun;100;"Laporan capaian TPP yang Wajib SHLS yang sudah memiliki sertifikat laik sehat (SLHS) dan masih berlaku hingga minimal tahun 2024 pada tahun 2023 dan 2024 (memuat informasi jumlah keseluruhan TPP yang Wajib SHLS dan TPP yang Wajib SHLS yang sudah memiliki SLHS).
Laporan divalidasi oleh Kepala OPD terkait serta dilengkapi dengan rekapitulasi TPP yang Wajib SLHS yang sudah memiliki
SLHS dan lampiran beberapa
contoh SLHS yang diterbitkan. Laporan divalidasi oleh Kepala"
;Persentase Tempat Pengolahan Pangan (TPP) Siap Saji yang memiliki Sertifikat Laik Hygiene Sanitasi (SLHS);jika capaian persentase TPP yang Wajib SLSH memiliki SLHS tetap dalam 2 tahun;50;
